id,toxic,prefix
0000997932d777bf,0,Explanation
0000997932d777bf,0,Explanation Why
0000997932d777bf,0,Explanation Why the
0000997932d777bf,0,Explanation Why the edits
0000997932d777bf,0,Explanation Why the edits made
0000997932d777bf,0,Explanation Why the edits made under
0000997932d777bf,0,Explanation Why the edits made under my
0000997932d777bf,0,Explanation Why the edits made under my username
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica Fan
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica Fan were
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica Fan were reverted?
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They
0000997932d777bf,0,Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms,"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC."
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired"
0000997932d777bf,0,"Explanation Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27"
000103f0d9cfb60f,0,D'aww!
000103f0d9cfb60f,0,D'aww! He
000103f0d9cfb60f,0,D'aww! He matches
000103f0d9cfb60f,0,D'aww! He matches this
000103f0d9cfb60f,0,D'aww! He matches this background
000103f0d9cfb60f,0,D'aww! He matches this background colour
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm seemingly
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm seemingly stuck
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm seemingly stuck with.
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm seemingly stuck with. Thanks.
000103f0d9cfb60f,0,D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk)
000103f0d9cfb60f,0,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51,"
000103f0d9cfb60f,0,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January"
000103f0d9cfb60f,0,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11,"
000103f0d9cfb60f,0,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016"
000103f0d9cfb60f,0,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks. (talk) 21:51, January 11, 2016 (UTC)"
000113f07ec002fd,0,Hey
000113f07ec002fd,0,"Hey man,"
000113f07ec002fd,0,"Hey man, I'm"
000113f07ec002fd,0,"Hey man, I'm really"
000113f07ec002fd,0,"Hey man, I'm really not"
000113f07ec002fd,0,"Hey man, I'm really not trying"
000113f07ec002fd,0,"Hey man, I'm really not trying to"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war."
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page."
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual"
000113f07ec002fd,0,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info."
0001b41b1c6bb37e,0,""""
0001b41b1c6bb37e,0,""" More"
0001b41b1c6bb37e,0,""" More I"
0001b41b1c6bb37e,0,""" More I can't"
0001b41b1c6bb37e,0,""" More I can't make"
0001b41b1c6bb37e,0,""" More I can't make any"
0001b41b1c6bb37e,0,""" More I can't make any real"
0001b41b1c6bb37e,0,""" More I can't make any real suggestions"
